Arabic Lemma,Arabic Definition,English Lemma or Gap,English Definition
موالح,هي أطعمة تحتوي على نسبة عالية من الصوديوم. يمكن أن تكون الموالح مصنوعة من الأطعمة المصنعة أو الأطعمة الطبيعية. ,GAP,
يأكل," هو فعل يشير إلى تناول الطعام. يمكن أن يكون الأكل عملية ممتعة أو مزعجة، اعتمادا على الشخص والطعام.",eat,"consume food or drink by putting it into the mouth, chewing it, and swallowing it."
يفغم,هو فعل يشير إلى تناول الطعام بسرعة أو دون مضغ كافٍ. الإفراط في الأكل يمكن أن يؤدي إلى زيادة الوزن أو مشاكل في الجهاز الهضمي.,GAP,
يقرط,هو فعل يشير إلى تناول الطعام ببطء وبشكل متعمد. القرط يمكن أن يساعد على الشعور بالشبع والاستمتاع بالطعام أكثر.,GAP,
مدعمات, هي كلمة أخرى للمكملات.,GAP,
ريجيم,اتباع الشخص نظاما غذائيا معينا فترة معينة حتى يتخلص من الوزن الزائد,diet, a prescribed selection of foods 
سمك معلب,هو سمك تم طهيه وتعبئته في علب. يمكن أن يكون السمك المعلب عبارة عن سمك تونة أو سلمون أو السردين أو أي نوع آخر من الأسماك.,GAP,
عشب يابس,هو عشب تم تجفيفه عن طريق التجفيف الشمسي أو التجفيف الصناعي. يمكن استخدام العشب الجاف كعلف للحيوانات المجترة أو كغذاء للإنسان.,GAP,
حليب مركز,هو حليب تم تجفيفه لإزالة معظم الماء منه. يمكن استخدام الحليب المركز لصنع القهوة والشاي والحليب المكثف المحلى.,condensed_milk, sweetened evaporated milk 
صوص أو مركز برتقال,هو سائل مصنوع من عصير البرتقال المركز. يمكن استخدام صوص أو مركز البرتقال في صنع الحلويات والمشروبات.,GAP,
ملح ليمون,"هو نوع من الملح يحتوي على مستخلص قشر الليمون. يحتوي ملح الليمون على طعم حامض ورائحة مميزة. يستخدم ملح الليمون في مجموعة متنوعة من الأطباق، مثل السلطات والشوربات واليخنات والسندويشات.",GAP,
كبش قرنفل,"زهرة شجرة القرنفل، وخصوصا المجففة والمستعملة تابلا، طعمها حريف ورائحتها ذكية، يستخرج منها زيت شائع الاستعمال الطبي، وتوضع في بعض أنواع الطعام تابلا",clove, spice from dried unopened flower bud of the clove tree; used whole or ground 
بهار مشكل,"هو مزيج من التوابل المختلفة. يحتوي بهار مشكل على طعم حار ورائحة مميزة. يستخدم بهار مشكل في مجموعة متنوعة من الأطباق، مثل الحلويات والمشروبات والصلصات.",GAP,
قرفة,"جنس شجر من الفصيلة الغارية، أشهر أنواعه القرفة السيلانية والقرفة الصينية، وهي من التوابل، وتستخدم كمشروب",cinnamon, spice from the dried aromatic bark of the Ceylon cinnamon tree; used as rolled strips or ground 
عسل,"لعاب النحل، مادة حلوة يخرجها النحل من بطونه مما يجمعه من رحيق الأزهار ",honey, a sweet yellow liquid produced by bees 
عسل أبيض,"هو نوع من العسل يتميز بلونه الأبيض وشفافيته. يحتوي عسل أبيض على طعم حلو ورائحة مميزة. يستخدم عسل أبيض في مجموعة متنوعة من الأطباق، مثل الحلويات والمشروبات والصلصات.",GAP,
عسل أسود,"هو نوع من العسل يتميز بلونه الأسود وشفافيته. يحتوي العسل الأسود على طعم حلو ورائحة مميزة. يستخدم العسل الأسود في مجموعة متنوعة من الأطباق، مثل الحلويات والمشروبات والصلصات.",GAP,
لكراميل بالشوكولاتة,نوع من حلوى الكراميل يصنع باستخدام الشوكولاتة.,chocolate_pudding, sweet chocolate flavored custard-like pudding usually thickened with flour rather than eggs 
سكرين,"سكارين؛ من نواتج قطران الفحم، بيضاء اللون، بلورية، تزيد حلاوته حوالي 400 مرة على حلاوة السكر المعروف؛ لذا يستعمل لتحلية الطعام للممنوعين من تناول السكر وهم مرضى البول السكري",saccharin, a crystalline substance 500 times sweeter than sugar; used as a calorie-free sweetener 
كراميل بالبندق,هو نوع من حلوى الكراميل يصنع باستخدام البندق.,GAP,
كراميل بالفستق حلبي,هو نوع من حلوى الكراميل يصنع باستخدام الفستق الحلبي.,GAP,
كراميل بالبسكويت,هو نوع من حلوى الكراميل يصنع باستخدام البسكويت.,GAP,
عصير جزر بالليمون,"هو عصير مصنوع من الجزر والليمون. يتميز عصير الجزر بالليمون بطعمه الحلو والحمضي. يستخدم عصير الجزر بالليمون في مجموعة متنوعة من الأطباق، مثل السلطات والمشروبات والحلويات.",GAP,
دبس سكر," هو نوع من الحلويات المصنوع من شراب السكر. يحتوي دبس السكر على طعم حلو ورائحة مميزة. يستخدم دبس السكر في مجموعة متنوعة من الأطباق، مثل الحلويات والمشروبات والسلطات.",molasses, thick dark syrup produced by boiling down juice from sugar cane; especially during sugar refining 
هريسة طماطم,"هي نوع من الصلصات المصنوعة من الطماطم والزيت والثوم والبصل. تتميز الهريسة بطعمها الحلو والحامض. تستخدم الهريسة في مجموعة متنوعة من الأطباق، مثل المعكرونة والبيتزا والسندويشات.",GAP,
عصير جزر بالبرتقال,"هو عصير مصنوع من الجزر والبرتقال. يتميز عصير الجزر بالبرتقال بطعمه الحلو والحلو. يستخدم عصير الجزر بالبرتقال في مجموعة متنوعة من الأطباق، مثل السلطات والمشروبات والحلويات.",GAP,
وجبة غذاء,هي وجبة كاملة تحتوي على جميع العناصر الغذائية الأساسية التي يحتاجها الجسم للنمو والتطور. تتكون الوجبة الغذائية عادة من البروتينات والكربوهيدرات والدهون والفيتامينات والمعادن.,"meal, repast", the food served and eaten at one time 
طحين ذرة,"هو نوع من الدقيق المصنوع من الذرة. يستخدم دقيق الذرة في مجموعة متنوعة من الأطباق، مثل الحلويات والمشروبات والصلصات.",corn flour,"a fine powder made from ground corn (maize). It is commonly used in cooking and baking as a thickening agent, or to make various dishes like cornbread, tortillas, and polenta."
قوت,هو الطعام الضروري لحياة الكائن الحي. يوفر الطعام الطاقة والمواد الغذائية التي يحتاجها الجسم للنمو والتطور.,GAP,
مغذيات دقيقة,هي العناصر الغذائية التي يحتاجها الجسم بكميات صغيرة. تشمل المغذيات الدقيقة الفيتامينات والمعادن.,micronutrients,"essential nutrients that our bodies need in small amounts to function properly. They include vitamins and minerals, which play crucial roles in various bodily processes such as metabolism, immune function, and bone health."
نشا,"هو نوع من الكربوهيدرات المعقدة الموجودة في النباتات. يستخدم النشا في مجموعة متنوعة من الأطباق، مثل الخبز والمعكرونة والحلويات.",starches," foodstuff rich in natural starch (especially potatoes, rice, bread) "
دقيق شوفان,"هو نوع من الدقيق المصنوع من الشوفان. يستخدم دقيق الشوفان في مجموعة متنوعة من الأطباق، مثل الحلويات والمشروبات والسلطات.",GAP,
فاتح شهية,هو الطعام أو الشراب الذي يساعد على تحفيز الشهية. تشمل فاتح الشهية الأطعمة الحمضية أو الحامضة أو الغنية بالتوابل.,"appetizer, appetiser, starter", food or drink to stimulate the appetite (usually served before a meal or as the first course) 
آيس كريم مجمد,هو آيس كريم يتم تجميده قبل تقديمه. تشمل أنواع الآيس كريم المجمد الآيس كريم الفانيليا والآيس كريم الشوكولاتة والآيس كريم الفراولة.,"ice_cream, icecream", frozen dessert containing cream and sugar and flavoring 
كوز أو قرطوس آيس كريم,هو وعاء مصنوع من الورق أو البلاستيك أو المعدن يستخدم لحمل الآيس كريم.,ice-cream_cone, ice cream in a crisp conical wafer 
آيس كريم طازج,"هو آيس كريم يتم صنعه من المكونات الطازجة، مثل الحليب والكريمة والسكر والفواكه. يتميز الآيس كريم الطازج بطعمه الغني والنكهة الطازجة.",GAP,
آيس كريم بطعم حليب,هو آيس كريم مصنوع من الحليب والكريمة والسكر. يتميز الآيس كريم بطعم الحليب الحلو والخفيف.,ice_milk, similar to ice cream but made of milk 
مهلبية أو محلبية,هي حلوى شرقية مصنوعة من الحليب والسكر والدقيق والنشاء. تتميز المهلبية بطعمها الحلو الكريمي.,GAP,
آيس كريم مانجو,هو آيس كريم مصنوع من الحليب والكريمة والسكر والمانجو. يتميز الآيس كريم بطعمه الحلو والمنعش.,GAP,
ثيراميسيو,هي حلوى إيطالية مصنوعة من البسكويت والكريمة المخفوقة والقهوة والشوكولاتة. تتميز الثيراميسيو بطعمها الكريمي والغني.,tiramisu, an Italian dessert consisting of layers of sponge cake soaked with coffee and brandy or liqueur layered with mascarpone cheese and topped with grated chocolate 
عش سرايا,هي حلوى شرقية مصنوعة من عجينة البقلاوة المحشوة بالفستق الحلبي والقطر. تتميز عش السرايا بطعمها الحلو والقرمشة.,GAP,
آيس كريم أناناس,هو آيس كريم مصنوع من الحليب والكريمة والسكر والأناناس. يتميز الآيس كريم بطعمه الحلو والمميز.,GAP,
مكعب ثلجي,هو قطعة من الثلج يتم تجميدها في قالب مكعبات الثلج. يستخدم مكعبات الثلج لتبريد المشروبات والطعام.,GAP,
كاراميل,هو حلوى مصنوعة من السكر المحروق. تتميز الكاراميل بطعمها الحلو والمميز.,"caramel, caramelized_sugar", burnt sugar; used to color and flavor food 
صحن شاورما عجل,"هو طبق يتكون من قطع رقيقة من لحم العجل المشوية على سيخ، ثم تقدم مع الخس والطماطم والبصل والمايونيز والكاتشب.",GAP,
لفة شاورما حبش,هي نوع من لفة الشاورما التي تستخدم لحم الحبش بدلا من لحم الدجاج أو العجل.,GAP,
فطور رمضان,"هو الوجبة التي يتناولها المسلمون عند غروب الشمس خلال شهر رمضان. يتكون فطور رمضان عادة من مجموعة متنوعة من الأطعمة اللذيذة، مثل التمر والحليب والأرز والحلويات.",GAP,
مرطبات,المشروبات التي تساعد على ترطيب الجسم وتجديده. يمكن أن تكون المرطبات عبارة عن مياه أو عصائر أو مشروبات غازية أو شاي أو قهوة.,GAP,
صحن شاورما حبش,"هو طبق يتكون من قطع رقيقة من لحم الحبش المشوية على سيخ، ثم تقدم مع الخس والطماطم والبصل والمايونيز والكاتشب.",GAP,
سحور,هو الوجبة التي يتناولها المسلمون قبل الفجر خلال شهر رمضان. يتكون السحور عادة من مجموعة متنوعة من الأطعمة والمشروبات التي تساعد الصائم على الصوم طوال اليوم.,GAP,
وجبة دسمة,هي وجبة تحتوي على نسبة عالية من السعرات الحرارية والدهون. يمكن أن تكون الوجبات الدسمة عبارة عن أي شيء من الأطباق الرئيسية إلى الحلويات.,GAP,
مشاوي سمك,"هي أطباق تصنع من السمك المشوي على الشواية. يمكن أن تكون مشاوي السمك عبارة عن أي نوع من السمك، مثل السلمون أو التونة أو القاروص أو الهلبوت.",GAP,
مشاوي دجاج,"هي أطباق تصنع من الدجاج المشوي على الشواية. يمكن أن تكون مشاوي الدجاج عبارة عن أي نوع من الدجاج، مثل صدور الدجاج أو أفخاذ الدجاج أو أسياخ الدجاج.",GAP,
خبز طابون أو خبر تنور أو خبز بلدي أو لفة,خبز مفرود يستخدم في الشرق الأوسط لفة ويستخدم في بعض الطبخات التراثية أيضا مثل المسخن والفتتات الشامية. وهي تخبز داخل أفران الطابون الخاصة وتؤكل مع حشوات مختلفة. ,GAP,
مشاوي خضار,"هي أطباق تصنع من الخضار المشوي على الشواية. يمكن أن تكون مشاوي الخضار عبارة عن أي نوع من الخضار، مثل الطماطم أو الفلفل أو البصل أو الباذنجان أو الكوسة.",GAP,
كماجة,قطعة من خبز الكماج,GAP,
شرحة أو لقمة خبز,قطعة من كماجة أو رغيف,GAP,
رغيف,قطعة من خبز الطابون أو خبز الصاج,GAP,
خبز أبيض,"خبز المصنوع من دقيق القمح الذي تمت إزالة النخالة وطبقات البذرة منه من القمح الكامل كجزء من عملية طحن الدقيق، مما ينتج دقيقا.","white_bread, light_bread", bread made with finely ground and usually bleached wheat flour 
ساندويتشة جبن,هي كماجة من الخبز محشوة بالجبن الطازج,Cheese sandwich,"a simple food item made by placing one or more slices of cheese between two pieces of bread. It can be served cold or grilled for a warm, melted version."
صفيحة باللحم أو لحم بالعجين أو لحم عجين,"تعرف باسم البيتزا الأرمنية، وهي قطعة رقيقة من العجين مستديرة ويعلوها اللحم المفروم (الأكثر شيوعا لحوم البقر أو الضأن) والخضروات والأعشاب المفرومة مثل البصل، الطماطم والبقدونس، ثم تخبز بالفرن. وغالبا تقدم ملفوفة بالخضروات والمخلل وترش بالعيران أو السلجم.",GAP,
فطير نعنع,هي معجنات محشوة بالنعنع. وهي جزء من المطبخ الفلسطيني.,GAP,
سمسمية,هي حلوى بذور السمسم عبارة عن حلوى من بذور السمسم والسكر أو العسل مضغوط في قالب أو كرة.,GAP,
حلاوة قرعية,هي مكون معد من  قرع عسل والسكر وغالبا ما يتم تخزينه في مرطبانات زجاجية وذلك يؤكل مع الزلابية,GAP,
كعكة سوداء,كعكة إسفنجية يضاف عليها وتغطى بكريمة الشوكولاته,GAP,
كعكة جزرة,"هي كعكة التي تحتوي على الجزر. يخلط مع الخليط. يلطف الجزرة في عملية الطبخ، والكعكة عادة مادة لينة، كثيفة. الجزر أنفسهم لتعزيز نكهة والنسيج، ومظهر من الكعكة.",GAP,
كعكة أناناس,هي كعكة التي طبقة من الأناناس يضاف عادة الى الكعكة البيضاء أو السوداء,GAP,
كعك ذرة,"خبز من دقيق الذرة مشكل، ومخبوز أو مقلي في صينية خبز الكعك",GAP,
معمول أو كعك بعجوة أو كعك عيد,"نوع من الحلويات الشعبية المشهورة في المنطقة العربية، وخاصة في لبنان وسوريا والأردن والسعودية وفلسطين والعراق ومصر. تحشى عادة بالتمر أو المكسرات كالجوز (عين الجمل) أو الفستق الحلبي أو الحلقوم. ",GAP,
صينية حبة بركة أو قزحة,حلو يتكون من القزحة والسميد والسكر مشهور في فلسطين,GAP,
افطار رمضان, الوجبة التي يتناولها المسلم؛ ليفطر بعد صيام نهار شهر رمضان ويدخل وقته بتحقق غروب الشمس الذي يرفع بعده أذان المغرب مباشرة.,GAP,
لبنة كرات,أحد مشتقات الحليب الناتجة عن ترويبه وتكون بشكل كرات بيضاء.,GAP,
أقط أو جميد أو جثي أو كثي أو بقل أو مضير أو مريس,"شكل من أشكال منتجات الألبان المجففة والمحمضٌة التي تجمد حتى تستحجر وتطبخ أو يطبخ بها. ينتشر استخدامه في الأردن وفلسطين وشمال السعودية، خاصة من قبل البدو بسبب سهولة حفظه لفترات طويلة، وهو يعتبر المكون الأساسي لطبق الأردن الوطني المنسف.",GAP,
لبة,اكل المولود اول الاكل,GAP,
جبنة محة,"نوع من الجبن يتميز بطعمها المالح. يتم إنتاجها عن طريق تخمير الحليب باستخدام البكتيريا والخمائر، مما يؤدي إلى إنتاج حمض اللاكتيك. هذا الحمض يعطي الجبنة طعمها الحامض والمالح.",GAP,
جبنة كشكوان,"نوع من الجبن الأصفر المصنوع من حليب البقر والماعز، أو حليب الغنم، أو بكليهما معا. يصنع في العديد من البلدان، بما في ذلك ألبانيا وبلغاريا وجمهورية مقدونيا وسوريا ولبنان وصربيا ورومانيا.",GAP,
جبن نعاج, نوع من أنواع الجبن يصنع من لبن النعاج .,GAP,
جبن بقر, نوع من أنواع الجبن يصنع من لبن البقر .,GAP,
شرحة لحم نيئ,"قطعة من اللحم النيئ، أي أنها لم يتم طهيها، أي أنها لم تتعرض لدرجة حرارة كافية لقتل البكتيريا الموجودة فيه. يمكن أن تكون شرحة لحم نيئ من أي نوع من الحيوانات، مثل الأبقار أو الأغنام أو الدجاج أو الحيوانات البرية",GAP,
لحم متبل,"لحم تم تتبيله بمجموعة من التوابل والبهارات، مما يمنحه نكهة مميزة. ",Marinated meat,"meat that has been soaked in a mixture of liquids and seasonings, known as a marinade, for a certain period of time before cooking."
طعام كبد وز,"طبق تقليدي في العديد من الثقافات حول العالم، بما في ذلك فرنسا وألمانيا والولايات المتحدة. يتكون الطبق من كبد الوز المسلوق أو المطهو على البخار، وعادة ما يقدم مع صلصة أو حساء.","foie_gras, pate_de_foie_gras", a pate made from goose liver (marinated in Cognac) and truffles 
طعام مخ خاروف,"طبق تقليدي في العديد من الثقافات حول العالم، بما في ذلك الشرق الأوسط وشمال إفريقيا وجنوب آسيا. يتكون الطبق من مخ الخروف المسلوق أو المطهو على البخار، وعادة ما يقدم مع صلصة أو حساء.",GAP,
طعام كبد خاروف,"طبق تقليدي في العديد من الثقافات حول العالم. يتكون الطبق من كبد الخاروف المسلوق أو المطهو على البخار، وعادة ما يقدم مع صلصة أو حساء.",GAP,
طعام طحال خاروف," طبق تقليدي في العديد من الثقافات حول العالم، بما في ذلك الشرق الأوسط وشمال إفريقيا وجنوب آسيا. يتكون الطبق من طحال الخاروف المسلوق أو المطهو على البخار، وعادة ما يقدم مع صلصة أو حساء.",GAP,
طعام طحال عجل," طبق تقليدي في العديد من الثقافات حول العالم، بما في ذلك الشرق الأوسط وشمال إفريقيا وجنوب آسيا. يتكون الطبق من طحال العجل المسلوق أو المطهو على البخار، وعادة ما يقدم مع صلصة أو حساء.",GAP,
طعام لسان خاروف,"طبق تقليدي في العديد من الثقافات حول العالم، بما في ذلك الشرق الأوسط وشمال إفريقيا وجنوب آسيا. يتكون الطبق من لسان الخاروف المسلوق أو المطهو على البخار، وعادة ما يقدم مع صلصة أو حساء.",GAP,
طعام ورق عنب أو دولمة أو يبرق أو ورق دوي أو ورق عريش أو يلنجي," طبق تقليدي في العديد من البلدان العربية والشرق الأوسط، ويتكون من أوراق عنب ملفوفة ونباتات أخرى محشية بالأرز والخضروات والبهارات واللحم أحيانا وغيرها.","dolmas, stuffed_grape_leaves", well-seasoned rice (with nuts or currants or minced lamb) simmered or braised in stock 
فيتوتشيني,"طبق إيطالي تقليدي يتكون من شرائح مستطيلة من عجينة المعكرونة تسمى الفيتوتشيني، والتي يتم طهيها في صلصة كريمية بيضاء مغطاة بجبنة بارميزان المبشورة.",GAP,
فاكهة ثمر عليق,"ثمار صالحة للأكل وهو من أنواع العليق، ومن طائفة الورديات والفصيلة التوتية.",raspberry, red or black edible aggregate berries usually smaller than the related blackberries 
طعام فيتوتشيني,"طبق إيطالي تقليدي يتكون من شرائح مستطيلة من المعكرونة تسمى الفيتوتشيني، والتي يتم طهيها في صلصة كريمية بيضاء مغطاة بجبنة بارميزان المبشورة.","fettuccine, fettuccini", pasta in flat strips wider than linguine 
خضروات جيدة,الخضروات التي تكون طازجة وذات نكهة جيدة وغنية بالعناصر الغذائية.,"vegetable, veggie, veg", edible seeds or roots or stems or leaves or bulbs or tubers or nonsweet fruits of any of numerous herbaceous plant 
زبيب أسود,"العنب المجفف عديم البذور، ويعرف أيضا باسم كشمش العنب.",GAP,
زبيب طبيخ,"نوع من الزبيب يستخدم في الطهي، ويتميز بلونه الذهبي الفاتح وطعمه الحلو. يصنع زبيب الطبيخ من العنب الأبيض، ويتم تجفيفه بطريقة خاصة تحافظ على لونه وطعمه",GAP,
برسيمون أو فرسيمونا,فاكهة استوائية موطنها الأصلي شرق آسيا. ,persimmon, orange fruit resembling a plum; edible when fully ripe 
فراولة,"فاكهة حمراء زاهية اللون، تنمو على نباتات عشبية معمرة من الفصيلة الوردية. تعرف الفراولة أيضا باسم توت الأرض أو الشيلك.",strawberry, sweet fleshy red fruit 
قطين,التين المجفف. ,GAP,
كرز,"ثمر شجر ينمو في المناطق المعتدلة المناخ يؤكل يشبه البرقوق ولكنه أصغر منه، وقد يصنع منه بعض المشروبات، ويسمى في المغرب (حب الملوك)",cherry, a red fruit with a single hard stone 
كرز أسود,"هو النوع الأكثر شيوعا من الكرز، ويتميز بلونه الأسود الداكن وطعمه الحلو.","sweet_cherry, black_cherry", any of several fruits of cultivated cherry trees that have sweet flesh 
كرز أصفر,"هو نوع أقل شيوعا من الكرز، ويتميز بلونه الأصفر وطعمه الحلو.",GAP,
كرز أحمر,"هو نوع آخر شائع من الكرز، ويتميز بلونه الأحمر الفاتح وطعمه الحلو.",cherry, a red fruit with a single hard stone 
كرز حلو,هو نوع من الكرز يتميز بطعمه الحلو وحجمه الكبير.,"sweet_cherry, black_cherry", any of several fruits of cultivated cherry trees that have sweet flesh 
جريب فروت,فاكهة حمضية تنتمي إلى عائلة الحمضيات. يعرف أيضا باسم الليمون الهندي أو اليوسفي,grapefruit, large yellow fruit with somewhat acid juicy pulp; usual serving consists of a half 
كرز حامض,هو نوع من الكرز يتميز بطعمه الحامض وحجمه الصغير.,sour_cherry, acid cherries used for pies and preserves 
ليمون, فاكهة بيضاوية الشكل ذات قشرة صفراء وزهرة بيضاء جميلة. يتميز الليمون بنكهة حامضة ويحتوي على العديد من العناصر الغذائية المفيدة للصحة.,lemon, yellow oval fruit with juicy acidic flesh 
برتق,فاكهة حمضيات ذات قشرة برتقالي زاهٍ ولحم برتقالي حلو. ,orange, round yellow to orange fruit of any of several citrus trees 
برتقال أبو سرة,"نوع من البرتقال الحلو، يتميز بوجود ندبة صغيرة في أسفله تشبه السرة. يعرف أيضا باسم البرتقال الكارولينا أو البرتقال اليوسفي.",navel_orange, seedless orange enclosing a small secondary fruit at the apex 
تمر,"ثمرة أشجار نخيل التمر، وهي من الثمار الشهيرة بقيمتها الغذائية العالية وهي فاكهة صيفية تنتشر في الوطن العربي. هو ثمرة مستطيلة الشكل بنية اللون، ولحم حلو المذاق.",date, sweet edible fruit of the date palm with a single long woody seed 
عنب حلو,"نوع من العنب يحتوي على نسبة عالية من السكريات الطبيعية، مثل الفركتوز والجلوكوز، مما يعطيه طعما حلوا.",GAP,
مربى مانجا,نوع من المربى المصنوع من فاكهة المانجا. يصنع مربى المانجا عادة عن طريق غلي لب المانجا مع السكر حتى يصبح الخليط سميكا. يمكن إضافة الفواكه الأخرى أو المكسرات أو الأعشاب إلى مربى المانجا حسب الرغبة.,GAP,
برتقال دم زغلول,"نوع من البرتقال، يتميز بلونه الأحمر الداكن، وطعمه الحلو مع حموضة خفيفة. يعرف أيضا باسم البرتقال الدموي أو البرتقال المرشم.",GAP,
عصير مانجا,"مشروب مصنوع من فاكهة المانجا، وهي فاكهة استوائية حلوة المذاق. يصنع عصير المانجا عادة عن طريق خلط لب المانجا مع الماء أو الحليب أو أي سائل آخر. يمكن إضافة السكر أو العسل إلى عصير المانجا حسب الرغبة.",mango juice,a beverage made by extracting the liquid from ripe mangoes.
قطعة شمام,"  جزء من ثمرة الشمام، وهي عبارة عن جزء من اللب الداخلي الملون، والذي يتميز بطعمه الحلو ورائحته المميزة.",GAP,
نبات راوند,"نبات معمر ينتمي إلى عائلة البطباطية. يتم استخدامه في العديد من الأطباق المختلفة ، بما في ذلك الحلويات والصلصات والمربى. تتميز سيقان الراوند بطعمها الحلو والحامض ، بينما تكون أوراقها سامة. لذلك ، يجب إزالة الأوراق قبل تناول أو استخدام السيقان.",Rheum,
موز جنة,"اسم شائع لنباتات عشبية من جنس الموز، وتستخدم الفاكهة التي تنتجها بوجه عام لأغراض الطهو، على عكس الموز اللين الحلو (الذي يدعى أحيانا موز التحلية).",plantain, starchy banana-like fruit; eaten (always cooked) as a staple vegetable throughout the tropics 
أوراق خضار,"أوراق النباتات التي تؤكل كخضار، تشمل أحيانا السيقان والبتلات. ما يقرب من ألف نوع من النباتات التي تصلح أوراقها للأكل. غالبا ما تأتي الخضروات الورقية من النباتات العشبية القصيرة الأجل مثل الخس والسبانخ.","greens, green, leafy_vegetable", any of various leafy plants or their leaves and stems eaten as vegetables 
خضروات ساقية,"الخضروات التي يتم تناول سيقانها. تنمو السيقان عادة فوق سطح الأرض، وتكون خضراء اللون أو صفراء أو حمراء.",GAP,
طعام أرانب," الغذاء الذي يستخدم لتغذية الأرانب. يتكون النظام الغذائي للأرانب بشكل أساسي من التبن أو العشب الطازج، بالإضافة إلى الخضروات والفواكه والمكملات الغذائية.",GAP,
عباد شمس,"نبات عشبي من فصيلة المركبات الأنبوبية الزهر، أزهاره صفراء كبيرة الأقراص مستديرتها تميل مع الشمس، يستخرج من بذورها زيت يستخدم في الطعام",sunflower,"a tall, bright yellow flower known for its large, round head that follows the sun as it moves across the sky."
بطاطا,"نبات من الفصيلة الباذنجانية، وهي من أكثر محاصيل الخضراوات انتشارا في العالم. وهي نبات درني، أي أن جذورها متضخمة وتشبه البطاطا.","potato, white_potato, Irish_potato, murphy, spud, tater", an edible tuber native to South America; a staple food of Ireland 
بطاطا مشوية,"البطاطا التي يتم طهيها في الفرن أو على الشواية. وهي طريقة شائعة لطهي البطاطا، حيث تنتج البطاطا المشوية طعما حلوا ومقرمشا.",baked_potato, potato that has been cooked by baking it in an oven 
بطاطس مقلية,"شرائح من البطاطا يتم قليها في الزيت الساخن حتى تصبح مقرمشة من الخارج وطرية من الداخل. وهي من الوجبات الخفيفة الأكثر شعبية في العالم، كما أنها تقدم كطبق جانبي في العديد من الأطباق الرئيسية.","french_fries, french-fried_potatoes, fries, chips", strips of potato fried in deep fat 
بطاطس مهروسة,"البطاطا المسلوقة أو المخبوزة التي يتم هرسها حتى تصبح ناعمة وكريمية. وهي طبق جانبي شائع في العديد من البلدان، كما أنها تستخدم في العديد من الأطباق الأخرى، مثل السندويشات والكاري.",mashed_potato, potato that has been peeled and boiled and then mashed 
لفت أصفر,"نوع من الخضروات الجذرية التي تنتمي إلى عائلة الكرنب. يتميز بطعمه الحلو والمر قليلا، وتحتوي على نسبة عالية من العناصر الغذائية، مثل فيتامين C والبوتاسيوم والحديد.","rutabaga, swede, swedish_turnip, yellow_turnip", the large yellow root of a rutabaga plant used as food 
سمك قاروس,"نوع من الأسماك العظمية، ينتمي إلى فصيلة الصرفيات. وهو سمك كبير الحجم، يمكن أن يصل طوله إلى مترين. يتميز سمك القاروس بلونه الفضي اللامع، ولحمه الأبيض الطري.","sea_bass, bass", the lean flesh of a saltwater fish of the family Serranidae 
سمك سلور,"نوع من الأسماك شعاعية الزعانف، ينتمي إلى فصيلة السلوريات. وهو سمك كبير الحجم، يمكن أن يصل طوله إلى مترين. يتميز سمك السلور بجسم طويل ممدود، ورأس كبير، وفم كبير يحتوي على العديد من الأسنان الصغيرة.","catfish, mudcat", flesh of scaleless food fish of the southern United States; often farmed 
صينية سمك,"طبق من السمك المشوي أو المقلي مع الخضار في صينية واحدة. وهي من الأطباق الشعبية في العديد من البلدان، بما في ذلك الصين واليابان والولايات المتحدة.",GAP,
أسماك برك,"أنواع من الأسماك التي تعيش في المياه العذبة، وغالبا ما يتم تربيتها في أحواض أو برك اصطناعية. ",GAP,
جمبري أحمر,"من أشهر أنواع الجمبري ذات اللون الأحمر، ويوجد في المياه المالحة.",GAP,
بطرخ,طعام محضر من بيض السمك يملح ويجفف في الشمس أو يدخن,"roe, hard_roe", fish eggs or egg-filled ovary; having a grainy texture 
جمبري أبيض,"نوع من الجمبري متوسط الحجم ذات اللون الأبيض، ويوجد في المياه المالحة","prawn, shrimp", any of various edible decapod crustaceans 
جمبري بني,"نوع من الجمبري صغير الحجم ذات اللون البني، ويوجد في المياه المالحة.",Crangon,"a genus of shrimp, commonly known as ""brown shrimp."""
قنبر أو سمكة زرقاء,"نوع من السمك، تعيش في معظم بحار المناطق المدارية والدافئة ما عدا شرقي المحيط الهادئ. ويتراوح طولها في الغالب بين 40 و60 سم وتزن بين 0.5 كغم و 2 كغم. وأحيانا يصل طول القنبر 1.2 م وتزن أكثر من 14 كغم.",bluefish, fatty bluish flesh of bluefish 
سمك ترس,"عائلة كبيرة من الأسماك ذات الزعانف الشعاعية، وتشمل أكثر من 180 نوعا تعيش في جميع أنحاء العالم، في المياه الدافئة والمعتدلة. تعيش أسماك الترس في مجموعة متنوعة من البيئات، بما في ذلك الشعاب المرجانية، والسواحل الصخرية، والقنوات، والأنهار، والبحيرات. تتغذى أسماك الترس على مجموعة متنوعة من الفرائس، بما في ذلك الأسماك الصغيرة، مثل السردين والكريل، والروبيان، والرخويات، والديدان.",turbot, flesh of a large European flatfish 
سمك كاليماري,"نوع من رأسيات الأرجل. يعد سمك كاليماري من المأكولات البحرية الشهيرة، ويمكن أن يؤكل نيئا أو مطبوخا. سمك كاليماري هو مصدر جيد للبروتينات والأحماض الدهنية أوميغا 3. ","squid, calamari, calamary", (Italian cuisine) squid prepared as food 
