English lemmas,English Definition,Arabic  lemmas or Gap,Arabic Definition
red_snapper, highly esteemed reddish lean flesh of snapper from Atlantic coast and Gulf of Mexico ,GAP,
swordfish, flesh of swordfish usually served as steaks ,سمك أبو سيف,"نوع من الأسماك المفترسة من فصيلة أبو سيفيات، وهو من الأسماك الرياضية الهامة. ينتشر سمك أبو سيف في المياه الاستوائية وشبه الاستوائية في جميع أنحاء العالم، ويبلغ طوله عادة حوالي 3 أمتار."
"tuna, tuna_fish, tunny", important warm-water fatty fish of the genus Thunnus of the family Scombridae; usually served as steaks ,سمك تونة,"نوع من السمك العظمي، من فصيلة الإستعمريات ورتبة شائكات الزعانف، وهو كبير الحجم، قد يبلغ طوله ستة أمتار، يؤكل لحمه طازجا، ومملحا أو محفوظا في الزيت"
albacore, relatively small tuna with choice white flesh; major source of canned tuna ,سمك ألباكور,"نوع من الأسماك المفترسة من فصيلة التونة، وهو من الأسماك التجارية الهامة. ينتشر سمك ألباكور في المياه المعتدلة في جميع أنحاء العالم، ويبلغ طوله عادة حوالي 2 متر."
"bluefin, bluefin_tuna", flesh of very large tuna ,GAP,
bonito, flesh of mostly Pacific food fishes of the genus Sarda of the family Scombridae; related to but smaller than tuna ,GAP,
weakfish, lean flesh of food and game fishes of the Atlantic coast of the United States ,سمك الراخـوص ,"سمك صالح للأكل، يعيش في الماء المالح ويطلق عليه أيضًا اسم السمك الضعيف. وهو من فصيلة السمك النعاب. وأطلق عليه اسم السمك الضعيف، لأن فمه ضعيف وقابل للتمزق بسهولة، ويصل طول هذه الأسماك إلى 30 أو 60 سم أو قد يزيد على ذلك. "
whiting, flesh of a cod-like fish of the Atlantic waters of Europe ,GAP,
shellfish, meat of edible aquatic invertebrate with a shell (especially a mollusk or crustacean) ,GAP,
clam, flesh of either hard-shell or soft-shell clams ,سمك محار,حيوانات من الرخويات تمتاز بأن لها أصدافا مشرقة الألوان ولحما صالحا للأكل
martini, a cocktail made of gin (or vodka) with dry vermouth ,GAP,
old_fashioned, a cocktail made of whiskey and bitters and sugar with fruit slices ,GAP,
vodka_martini, martini made with vodka rather than gin ,GAP,
pink_lady, a cocktail made of gin and brandy with lemon juice and grenadine shaken with an egg white and ice ,GAP,
planters_punch, a cocktail made of rum and lime or lemon juice with sugar and sometimes bitters ,GAP,
sazerac, a cocktail made with bourbon with bitters and Pernod and sugar served with lemon peel ,GAP,
screwdriver, a cocktail made with vodka and orange juice ,GAP,
sidecar, a cocktail made of orange liqueur with lemon juice and brandy ,GAP,
sour, a cocktail made of a liquor (especially whiskey or gin) mixed with lemon or lime juice and sugar ,GAP,
"whiskey_sour, whisky_sour", a sour made with whiskey ,GAP,
white_russian," a cocktail made with vodka, coffee liqueur, and milk or cream ",GAP,
stinger, a cocktail made of made of creme de menthe and brandy ,GAP,
dom_pedro, South African mixed drink made by mixing ice cream with whisky ,GAP,
flip, hot or cold alcoholic mixed drink containing a beaten egg ,GAP,
highball, a mixed drink made of alcoholic liquor mixed with water or a carbonated beverage and served in a tall glass ,GAP,
cobbler, a pie made of fruit with rich biscuit dough usually only on top of the fruit ,GAP,
"collins, tom_collins", tall iced drink of liquor (usually gin) with fruit juice ,GAP,
gin_and_tonic, gin and quinine water ,GAP,
"julep, mint_julep", bourbon and sugar and mint over crushed ice ,GAP,
scotch_and_soda, a highball with Scotch malt whiskey and club soda ,GAP,
sugar_water, water sweetened with sugar ,قطر," هو نوع من الحلويات المصنوع من السكر المذاب والماء. يحتوي القطر على طعم حلو ورائحة مميزة. يستخدم القطر في مجموعة متنوعة من الأطباق، مثل الحلويات والمشروبات والكعك."
sling, a highball with liquor and water with sugar and lemon or lime juice ,GAP,
limeade, sweetened beverage of lime juice and water ,شراب ليمون, هو مشروب مصنوع من عصير الليمون والسكر والماء. يمكن أن يكون عصير الليمون الطازج أو عصير الليمون المركز. 
lemonade, sweetened beverage of diluted lemon juice ,ليموناضة, هو مشروب مصنوع من عصير الليمون والسكر والماء. يمكن أن تكون الليمونادة مصنوعة من الليمون الطازج أو عصير الليمون المركز. 
"fruit_drink, ade", a sweetened beverage of diluted fruit juice ,عصير فواكه,مشروب يتم تحضيره عن طريق عصر الفواكه الطازجة أو استخراج سوائلها.
fizz, an effervescent beverage (usually alcoholic) ,GAP,
"fruit_juice, fruit_crush", drink produced by squeezing or crushing fruit ,عصير فريش فواكه, هو عصير مصنوع من الفواكه الطازجة التي تم عصرها. يعرف أيضا باسم عصير الفاكهة الطازجة أو عصير الفاكهة الطازجة. عصير فريش فواكه هو مصدر جيد للفيتامينات والمعادن والألياف. 
orangeade, sweetened beverage of diluted orange juice ,عصير برتقال,هو عصير مصنوع من البرتقال الطازج. إنه مصدر جيد لفيتامين سي ومضادات الأكسدة. عصير البرتقال هو مشروب شائع في العديد من الثقافات
apple_juice, the juice of apples ,عصير تفاح,هو مشروب مصنوع من عصير التفاح. يمكن أن يكون عصير التفاح الطازج أو عصير التفاح المركز.
cranberry_juice, the juice of cranberries (always diluted and sweetened) ,عصير توت, هو مشروب مصنوع من عصير التوت. يمكن أن يكون عصير التوت الطازج أو عصير التوت المركز. 
grape_juice, the juice of grapes ,عصير عنب, هو مشروب مصنوع من عصير العنب. يمكن أن يكون عصير العنب الطازج أو عصير العنب المركز. 
must, grape juice before or during fermentation ,GAP,
grapefruit_juice, the juice of grapefruits ,عصير جريبفروت,هو مشروب مصنوع من عصير الجريب فروت. يمكن أن يكون عصير الجريب فروت الطازج أو عصير الجريب فروت المركز.
orange_juice, bottled or freshly squeezed juice of oranges ,عصير برتقال,هو عصير مصنوع من البرتقال الطازج. إنه مصدر جيد لفيتامين سي ومضادات الأكسدة. عصير البرتقال هو مشروب شائع في العديد من الثقافات
nectar, (classical mythology) the food and drink of the gods; mortals who ate it became immortal ,نكتار,"مشروب يحصل عليه من خلط الماء مع عصير الفاكهة الطبيعي أو مركز الفاكهة الطبيعي أو مهروس الفاكهة الطبيعي، وقد يضاف إليه بعض المحليات الطبيعية. بعبارة أخرى، هو عصير فاكهة مخفف بالماء والسكر."
brandy_sling, a sling made with brandy ,GAP,
gin_sling, a sling made with gin ,GAP,
rum_sling, a sling made with rum ,GAP,
"zombie, zombi", several kinds of rum with fruit juice and usually apricot liqueur ,GAP,
tom_and_jerry, hot rum toddy with a beaten egg ,GAP,
"hot_toddy, toddy", a mixed drink made of liquor and water with sugar and spices and served hot ,GAP,
"mimosa, bucks_fizz", a mixed drink containing champagne and orange juice ,GAP,
punch, an iced mixed drink usually containing alcohol and prepared for multiple servings; normally served in a punch bowl ,GAP,
pina_colada, a mixed drink made of pineapple juice and coconut cream and rum ,GAP,
cup, a punch served in a pitcher instead of a punch bowl ,كأس,وعاء يستخدم لتقديم المشروبات
champagne_cup, a punch containing a sparkling wine ,GAP,
eggnog, a punch made of sweetened milk or cream mixed with eggs and usually alcoholic liquor ,GAP,
claret_cup, a punch made of claret and brandy with lemon juice and sugar and sometimes sherry or curacao and fresh fruit ,GAP,
fruit_punch, a punch made of fruit juices mixed with water or soda water (with or without alcohol) ,GAP,
fish_house_punch, a punch made of rum and brandy and water or tea sweetened with sugar syrup ,GAP,
glogg, Scandinavian punch made of claret and aquavit with spices and raisins and orange peel and sugar ,GAP,
milk_punch, a punch made of spirits and milk and sugar and spices ,GAP,
may_wine, a punch made of Moselle and sugar and sparkling water or champagne flavored with sweet woodruff ,GAP,
wassail, a punch made of sweetened ale or wine heated with spices and roasted apples; especially at Christmas ,GAP,
gin_rickey, a rickey made with gin ,GAP,
rickey, a mixed drink made of sweetened lime juice and soda water usually with liquor ,GAP,
spritzer, a mixed drink made of wine mixed with a sparkling water ,GAP,
swizzle, any of various tall frothy mixed drinks made usually of rum and lime juice and sugar shaken with ice ,GAP,
nipa, made from sap of the Australasian nipa palm ,GAP,
"neutral_spirits, ethyl_alcohol", nonflavored alcohol of 95 percent or 190 proof used for blending with straight whiskies and in making gin and liqueurs ,GAP,
perry, a fermented and often effervescent beverage made from juice of pears; similar in taste to hard cider ,GAP,
proof_spirit, a mixture containing half alcohol by volume at 60 degrees Fahrenheit ,GAP,
pulque, fermented Mexican drink from juice of various agave plants especially the maguey ,GAP,
"sake, saki, rice_beer", Japanese alcoholic beverage made from fermented rice; usually served hot ,GAP,
rotgut, any alcoholic beverage of inferior quality ,GAP,
slug, an amount of an alcoholic drink (usually liquor) that is poured or gulped ,GAP,
"altar_wine, sacramental_wine", used in a communion service ,GAP,
"blush_wine, pink_wine, rose, rose_wine", pinkish table wine from red grapes whose skins were removed after fermentation began ,GAP,
"wine, vino", fermented juice (of grapes especially) ,واين,مشروب كحولي مصنوع من تخمير العنب أو الفواكه الأخرى.
"bordeaux, bordeaux_wine"," any of several red or white wines produced around Bordeaux, France or wines resembling them ",GAP,
fortified_wine, wine to which alcohol (usually grape brandy) has been added ,GAP,
madeira, an amber dessert wine from the Madeira Islands ,GAP,
malmsey, sweet Madeira wine ,GAP,
marsala, dark sweet or semisweet dessert wine from Sicily ,GAP,
instant_coffee, dehydrated coffee that can be made into a drink by adding hot water ,"القهوة الفورية، القهوة التركية", هي نوع من القهوة المصنوعة من القهوة المطحونة جيدا ويتم تحضيرها باستخدام الماء الساخن. تتميز القهوة التركية بنكهة قوية وغنية. غالبا ما يتم تقديم القهوة التركية مع التمر أو الحلويات. 
"mocha, mocha_coffee", a flavoring made from coffee mixed with chocolate ,موجا, هو نوع من القهوة مصنوع من مزيج من الإسبريسو والحليب المكثف والشوكولاتة. يتميز الموجا بطعمه الحلو والكريمي.
irish_coffee, sweetened coffee with Irish whiskey and whipped cream ,GAP,
seltzer, effervescent beverage artificially charged with carbon dioxide ,GAP,
vichy_water," sparkling mineral water from springs at Vichy, France or water similar to it ","مياه غازية ، صودا","شراب غير كحولي منكه، عادة ما يباع في زجاجات أو علب"
"chow, chuck, eats, grub", informal terms for a meal ,GAP,
allergy_diet, a diet designed to avoid the foods that you are allergic to ,حمية غذائية," هي نظام غذائي مصمم لتحقيق هدف معين، مثل إنقاص الوزن أو زيادة الوزن أو إدارة حالة طبية. يمكن أن تكون الحميات الغذائية صحية أو غير صحية، اعتمادا على الأطعمة التي يتم تناولها."
training_table, planned meals for athletes in training (usually served in a mess hall) ,طعام رياضي,هو طعام أو شراب مصمم لمساعدة الرياضيين على التزود بالطاقة والأداء بشكل أفضل. يمكن أن يكون طعام الرياضي مصنوعا من الكربوهيدرات أو البروتين أو الأحماض الأمينية أو الفيتامينات أو المعادن. 
diet, a prescribed selection of foods ,حمية غذائية," هي نظام غذائي مصمم لتحقيق هدف معين، مثل إنقاص الوزن أو زيادة الوزن أو إدارة حالة طبية. يمكن أن تكون الحميات الغذائية صحية أو غير صحية، اعتمادا على الأطعمة التي يتم تناولها."
"bland_diet, ulcer_diet", a diet of foods that are not irritating ,GAP,
"carbohydrate_loading, carbo_loading", a diet of foods high in starch that increases carbohydrate reserves in muscles ,GAP,
dietary_supplement, something added to complete a diet or to make up for a dietary deficiency ,مكملات, هي مواد يتم تناولها بالإضافة إلى الطعام. يمكن أن تكون المكملات مصنوعة من الفيتامينات أو المعادن أو الأعشاب أو النباتات أو المنتجات الحيوانية.
gluten-free_diet, diet prescribed to treat celiac disease; eliminates such foods as wheat and rye and oats and beans and cabbage and turnips and cucumbers that are rich in gluten ,GAP,
high-protein_diet, a diet high in plant and animal proteins; used to treat malnutrition or to increase muscle mass ,GAP,
diabetic_diet, a diet designed to help control the symptoms of diabetes ,نظام غذائي لمرضى السكري,خطة غذائية مصممة خصيصًا للمساعدة في التحكم في مستويات السكر في الدم. 
"high-vitamin_diet, vitamin-deficiency_diet", a diet designed to patients with vitamin deficiencies ,GAP,
light_diet, diet prescribed for bedridden or convalescent people; does not include fried or highly seasoned foods ,حمية خفيفة,نظام غذائي يتكون من أطعمة خفيفة وسهلة الهضم
"reducing_diet, obesity_diet", a diet designed to help you lose weight (especially fat) ,GAP,
low-fat_diet, a diet containing limited amounts of fat and stressing foods high in carbohydrates; used in treatment of some gallbladder conditions ,GAP,
"low-sodium_diet, low-salt_diet, salt-free_diet", a diet that limits the intake of salt (sodium chloride); often used in treating hypertension or edema or certain other disorders ,GAP,
clear_liquid_diet, a diet of fluids with minimal residues (fat-free broth or strained fruit juices or gelatin); cannot be used for more than one day postoperative ,GAP,
liquid_diet, a diet of foods that can be served in liquid or strained form (plus custards or puddings); prescribed after certain kinds of surgery ,حمية السوائل,"نظام غذائي يعتمد على تناول السوائل فقط، مثل العصائر والشوربات والماء."
fad_diet, a reducing diet that enjoys temporary popularity ,GAP,
menu, the dishes making up a meal ,قائمة طعام,"هي قائمة بالأطعمة التي يتم تقديمها في مكان ما، مثل مطعم أو مقهى. يمكن أن تحتوي قائمة الطعام على مجموعة متنوعة من الأطباق، أو يمكن أن تكون متخصصة في نوع معين من الطعام، مثل الطعام الإيطالي أو الآسيوي."
low-calorie_diet, a diet that is low on calories ,GAP,
"soft_diet, pap, spoon_food", a diet that does not require chewing; advised for those with intestinal disorders ,نظام غذائي مهروس,"النظام الغذائي يتكون من أطعمة مهروسة أو سائلة، ويستخدم عادة للأطفال الصغار أو كمرحلة انتقالية بعد الجراحة أو المرض."
dietary, a regulated daily food allowance ,نظام غذائي,"هو مجموعة متنوعة من الأطعمة التي يتم تناولها. يمكن أن يكون النظام الغذائي صحيا أو غير صحي، اعتمادا على الأطعمة التي يتم تناولها."
vegetarianism, a diet excluding all meat and fish ,نباتيون," هم الأشخاص الذين لا يتناولون اللحوم أو المنتجات الحيوانية الأخرى. يمكن أن يكون النباتيون نباتيين صارمين، مما يعني أنهم لا يتناولون أي منتجات حيوانية، أو يمكنهم أن يكونوا نباتيين مرنين، مما يعني أنهم قد يتناولون منتجات حيوانية معينة، مثل البيض أو منتجات الألبان."
macrobiotic_diet, a diet consisting chiefly of beans and whole grains ,GAP,
ration, the food allowance for one day (especially for service personnel) ,حصة تموينية,"كمية محددة من السلع الغذائية الأساسية التي يتم توفيرها بشكل دوري للأفراد أو الأسر، عادةً بأسعار مخفضة أو مدعومة من قبل الحكومة. "
field_ration, rations issued for United States troops in the field ,GAP,
"silage, ensilage", fodder harvested while green and kept succulent by partial fermentation as in a silo ,علف,هو أي مادة نباتية يتم إطعامها للحيوانات. يمكن أن يكون العلف عبارة عن أعشاب أو حبوب أو خضروات أو مخلفات المحاصيل.
breadstuff, food made from dough of flour or meal and usually raised with yeast or baking powder and then baked ,طحين او دقيق,"هو مسحوق مصنوع من الحبوب. يمكن أن يكون الطحين مصنوعا من القمح أو الأرز أو الذرة أو الشعير أو أي نوع آخر من الحبوب. يستخدم الطحين في مجموعة متنوعة من الأطباق، مثل الخبز والمعكرونة والكعك والبسكويت."
"foodstuff, food_product", a substance that can be used or prepared for use as food ,مواد غذائية,"عناصر غذائية ضرورية لصحة الجسم، تشمل الفيتامينات والمعادن والبروتينات."
"canned_meat, tinned_meat", meat preserved in a can or tin ,لحوم معلبة,هي لحوم تم طهيها وتعبئتها في علب. يمكن أن تكون اللحوم المعلبة عبارة عن لحوم حمراء أو بيضاء أو دواجن.
"canned_food, canned_foods, canned_goods, tinned_goods", food preserved by canning ,طعام معلب,هو طعام يتم طهيه وتعبئته في علب. يمكن أن يكون الطعام المعلب عبارة عن طعام مجتر أو دواجن أو قطط أو كلاب.
tomato_concentrate, a concentrated form of tomatoes ,معجون طماطم عادي,"هو النوع الأكثر شيوعا، ويصنع من الطماطم الناضجة فقط."
"concoction, mixture, intermixture", any foodstuff made by combining different ingredients ,خليط, ما اختلط أو امتزج من صنفين أو أصناف مع احتفاظ كل منها بخصائصه المميزة مثل خليط من التوابل
borage, an herb whose leaves are used to flavor sauces and punches; young leaves can be eaten in salads or cooked ,لسان ثور,"هو نبات عشبي ينتمي إلى الفصيلة الشفوية. يحتوي لسان الثور على طعم مر ورائحة مميزة. يستخدم لسان الثور في مجموعة متنوعة من الأطباق، مثل السلطات والشوربات واليخنات والصلصات."
chervil, fresh ferny parsley-like leaves used as a garnish with chicken and veal and omelets and green salads and spinach ,بقدونس إفرنجي,"هو نبات عشبي ينتمي إلى الفصيلة الخيمية. يحتوي البقدونس الإفرنجي على طعم حلو ورائحة مميزة. يستخدم البقدونس الإفرنجي في مجموعة متنوعة من الأطباق، مثل السلطات والشوربات واليخنات والسندويشات."
caraway, leaves used sparingly in soups and stews ,كراوية,"توابل تُستخدم في الطهي، لها نكهة مميزة وتُضاف إلى بعض الأطعمة والمخبوزات."
chives, cylindrical leaves used fresh as a mild onion-flavored seasoning ,كراث,"هو نبات عشبي ينتمي إلى الفصيلة الخيمية. يحتوي الكراث على طعم حار ورائحة مميزة. يستخدم الكراث في مجموعة متنوعة من الأطباق، مثل السلطات والشوربات واليخنات والسندويشات."
"comfrey, healing_herb", leaves make a popular tisane; young leaves used in salads or cooked ,الجرجير البري,"نبات ورقي أخضر ينتمي إلى عائلة الصليبيات، يُستخدم في السلطات وله طعم حار ومميز."
"coriander, chinese_parsley, cilantro", parsley-like herb used as seasoning or garnish ,كزبرة أو كسبرة,"نبات عشبي من فصيلة الخيميات أو البقدونسيات، أوراقه وردية اللون أو بيض، أزهاره صغيرة القد، يستعمل تابلا وتضاف أوراقه إلى بعض المآكل، ويدخل في تركيب بعض المشروبات، كما يستعمل في الأدوية"
costmary, leaves used sparingly (because of bitter overtones) in sauces and soups and stuffings ,GAP,
"dill, dill_weed", aromatic threadlike foliage of the dill plant used as seasoning ,شبت,"عشب عطري ذو أوراق رفيعة ورائحة مميزة، يُستخدم كتوابل في الطهي"
fines_herbes, a mixture of finely chopped fresh herbs ,GAP,
hyssop, bitter leaves used sparingly in salads; dried flowers used in soups and tisanes ,GAP,
lemon_balm, lemony leaves used for a tisane or in soups or fruit punches ,أوراق ليمون جافة,"هي أوراق الليمون التي تم حصادها وتجفيفها. تحتوي أوراق الليمون الجافة على طعم حامض ورائحة مميزة. تستخدم أوراق الليمون الجافة في مجموعة متنوعة من الأطباق، مثل السلطات والشوربات واليخنات والسندويشات."
lovage, stalks eaten like celery or candied like angelica; seeds used for flavoring or pickled like capers ,GAP,
"marjoram, oregano", pungent leaves used as seasoning with meats and fowl and in stews and soups and omelets ,GAP,
mint, a candy that is flavored with a mint oil ,نعناع,"هو نبات عشبي ينتمي إلى الفصيلة الشفوية. يحتوي النعناع على طعم منعش ورائحة مميزة. يستخدم النعناع في مجموعة متنوعة من الأطباق، مثل السلطات والشوربات واليخنات والسندويشات."
rosemary, extremely pungent leaves used fresh or dried as seasoning for especially meats ,إكليل جبل (حصى لبان),"هو نبات عشبي ينتمي إلى الفصيلة الشفوية. يحتوي إكليل الجبل على طعم مر ورائحة مميزة. يستخدم إكليل الجبل في مجموعة متنوعة من الأطباق، مثل السلطات والشوربات واليخنات والسندويشات."
parsley, aromatic herb with flat or crinkly leaves that are cut finely and used to garnish food ,بقدونس,"بقلة من الفصيلة الخيمية، لها رائحة طيبة، من الخضر التي تدخل في بعض الأطعمة، تشبه الكرفس في شكلها، غنية جدا بالفيتامينات"
sage, aromatic fresh or dried grey-green leaves used widely as seasoning for meats and fowl and game etc ,مريمية," هو نبات عشبي ينتمي إلى الفصيلة الشفوية. يحتوي المريمية على طعم مر ورائحة مميزة. يستخدم المريمية في مجموعة متنوعة من الأطباق، مثل السلطات والشوربات والحلويات."
clary_sage, fresh leaves used in omelets and fritters and with lamb ,GAP,
rue, leaves sometimes used for flavoring fruit or claret cup but should be used with great caution :  can cause irritation like poison ivy ,GAP,
"savory, savoury", either of two aromatic herbs of the mint family ,GAP,
"summer_savory, summer_savoury", herb with delicately flavored leaves with many uses ,GAP,
"winter_savory, winter_savoury", resinous leaves used in stews and stuffings and meat loaf ,GAP,
sweet_cicely, fresh ferny leaves and green seeds used as garnish in salads and cold vegetables; dried seeds used in confectionery and liqueurs ,بقدونس إفرنجي,"هو نبات عشبي ينتمي إلى الفصيلة الخيمية. يحتوي البقدونس الإفرنجي على طعم حلو ورائحة مميزة. يستخدم البقدونس الإفرنجي في مجموعة متنوعة من الأطباق، مثل السلطات والشوربات واليخنات والسندويشات."
"sweet_woodruff, waldmeister", fragrant dark green leaves used to flavor May wine ,GAP,
"tarragon, estragon", fresh leaves (or leaves preserved in vinegar) used as seasoning ,طرخون,"عشب عطري يُستخدم كتوابل، يتميز بنكهته الفريدة"
"tea, tea_leaf", a light midafternoon meal of tea and sandwiches or cakes ,شاي," نبات من الفصيلة الكاميلية، مهده الأصلي بين الصين والهند، يهيأ ورقه ويغلى أو ينقع في الماء المغلى ويشرب محلى بالسكر في المعتاد"
"congou, congo, congou_tea, english_breakfast_tea", black tea grown in China ,شاي أسود,"هو نوع من الشاي يتم إنتاجه من أوراق نبات الشاي التي تم تخميرها بعد الحصاد. يتميز الشاي الأسود بطعمه القوي ورائحته المميزة. يستخدم الشاي الأسود في مجموعة متنوعة من المشروبات، مثل الشاي الأسود العادي وشاي الفطور"
black_tea, fermented tea leaves ,شاي أسود,"هو نوع من الشاي يتم إنتاجه من أوراق نبات الشاي التي تم تخميرها بعد الحصاد. يتميز الشاي الأسود بطعمه القوي ورائحته المميزة. يستخدم الشاي الأسود في مجموعة متنوعة من المشروبات، مثل الشاي الأسود العادي وشاي الفطور"
darjeeling, a fine variety of black tea grown in northern India ,شاي أسود,"هو نوع من الشاي يتم إنتاجه من أوراق نبات الشاي التي تم تخميرها بعد الحصاد. يتميز الشاي الأسود بطعمه القوي ورائحته المميزة. يستخدم الشاي الأسود في مجموعة متنوعة من المشروبات، مثل الشاي الأسود العادي وشاي الفطور"
"orange_pekoe, pekoe", a superior grade of black tea; grown in India and Sri Lanka and Java ,GAP,
"souchong, soochong", a fine quality of black tea native to China ,GAP,
green_tea, tea leaves that have been steamed and dried without fermenting ,شاي أخضر,"هو نوع من الشاي يتم إنتاجه من أوراق نبات الشاي التي تم تجفيفها وتغليفها مباشرة بعد الحصاد. يتميز الشاي الأخضر بطعمه الخفيف ورائحته المنعشة. يستخدم الشاي الأخضر في مجموعة متنوعة من المشروبات، مثل الشاي الأخضر العادي "
hyson, a Chinese green tea with twisted leaves ,GAP,
oolong, Chinese tea leaves that have been partially fermented before being dried ,GAP,
bread_and_butter_pickle, thinly sliced sweet pickles ,مخلل أو كبيس,"هو طعام تم تخميره في محلول ملحي. يمكن أن يكون المخلل مصنوعا من مجموعة متنوعة من الخضروات، مثل الخيار واللفت والجزر. يستخدم المخلل كطبق جانبي أو كمقبلات."
salsa, spicy sauce of tomatoes and onions and chili peppers to accompany Mexican foods ,صلصة حارة," هي صلصة تحتوي على الفلفل الحار، مما يعطيها نكهة حارة. يمكن أن تكون الصلصة الحارة مصنوعة من مجموعة متنوعة من المكونات، مثل الطماطم والخل والسكر والثوم والأعشاب والتوابل. تستخدم الصلصة الحارة في مجموعة متنوعة من الأطباق، مثل البرغر والسندويشات والبطاطس المقلية."
pickle_relish, relish of chopped (usually sweet) pickles ,GAP,
"allemande, allemande_sauce", egg-thickened veloute ,GAP,
"aioli, aioli_sauce, garlic_sauce", garlic mayonnaise ,مايونيز بالثوم," هو نوع من المايونيز يحتوي على الثوم، مما يعطيه نكهة مميزة. يمكن أن يكون المايونيز بالثوم مصنوعا من مجموعة متنوعة من المكونات، مثل البيض الزيت والخل والثوم والأعشاب والتوابل. يستخدم المايونيز بالثوم في مجموعة متنوعة من الأطباق، مثل السندويشات والسندويشات المفتوح والسلطات."
sauce, flavorful relish or dressing or topping served as an accompaniment to food ,صلصة," هي سائل كثيف يستخدم لإضافة النكهة أو الرطوبة إلى الطعام. يمكن أن تكون الصلصة مصنوعة من مجموعة متنوعة من المكونات، مثل الطماطم والخل والسكر والثوم والأعشاب والتوابل. تستخدم الصلصة في مجموعة متنوعة من الأطباق، مثل السلطات والشوربات واليخنات والسندويشات."
anchovy_sauce, made of white sauce and mashed anchovies ,GAP,
barbecue_sauce, spicy sweet and sour sauce usually based on catsup or chili sauce ,صلصة باريكيو (حلوة حارة),"هي نوع من صلصة الباربيكيو تحتوي على السكر، مما يعطيها نكهة حلوة حارة. يمكن أن تكون صلصة الباربيكيو (حلوة حارة) مصنوعة من مجموعة متنوعة من المكونات، مثل الطماطم والخل والسكر والثوم والأعشاب والتوابل. تستخدم صلصة الباربيكيو (حلوة حارة) في مجموعة متنوعة من الأطباق، مثل اللحوم والدواجن والأسماك."
apricot_sauce, for Chinese dishes: apricot preserves and chutney ,GAP,
"bercy, bercy_butter", butter creamed with white wine and shallots and parsley ,GAP,
bearnaise, a sauce like hollandaise but made with white wine and tarragon and shallots instead of lemon juice ,GAP,
bordelaise, brown sauce with beef marrow and red wine ,GAP,
"bourguignon, bourguignon_sauce, burgundy_sauce", reduced red wine with onions and parsley and thyme and butter ,GAP,
"brown_sauce, sauce_espagnole", a sauce based on soy sauce ,GAP,
bread_sauce, creamy white sauce made with bread instead of flour and seasoned with cloves and onion ,GAP,
caper_sauce, allemande sauce with capers ,GAP,
"chinese_brown_sauce, brown_sauce", a sauce based on soy sauce ,GAP,
"chocolate_sauce, chocolate_syrup", sauce made with unsweetened chocolate or cocoa and sugar and water ,دهون شوكولاته ,"هي نوع من الدهون النباتية التي يتم إنتاجها من الكاكاو. تستخدم دهون الشوكولاته في مجموعة متنوعة من الأطباق، مثل الحلويات والكعك والبسكويت."
"hot-fudge_sauce, fudge_sauce", thick chocolate sauce served hot ,GAP,
"cocktail_sauce, seafood_sauce", usually catsup with horseradish and lemon juice ,GAP,
curry_sauce, allemande sauce with curry powder and coconut milk instead of stock ,GAP,
"colbert, colbert_butter", butter creamed with parsley and tarragon and beef extract ,GAP,
"demiglace, demi-glaze", sauce Espagnole with extra beef stock simmered down and seasoned with dry wine or sherry ,GAP,
"dressing, salad_dressing", savory dressings for salads; basically of two kinds :  either the thin French or vinaigrette type or the creamy mayonnaise type ,GAP,
anchovy_dressing, vinaigrette and mashed anchovies ,GAP,
"bleu_cheese_dressing, blue_cheese_dressing", creamy dressing containing crumbled blue cheese ,GAP,
"blue_cheese_dressing, roquefort_dressing", vinaigrette containing crumbled Roquefort or blue cheese ,GAP,
"french_dressing, vinaigrette, sauce_vinaigrette", oil and vinegar with mustard and garlic ,GAP,
half-and-half_dressing, half mayonnaise and half vinaigrette seasoned with minced garlic and mashed anchovies and grated Parmesan cheese; especially good for combination salads ,GAP,
italian_dressing, a vinaigrette with garlic and herbs : oregano and basil and dill ,GAP,
lorenzo_dressing, vinaigrette with chili sauce and chopped watercress ,GAP,
"mayonnaise, mayo", egg yolks and oil and vinegar ,مايونيز,صلصة كثيفة من صفار البيض المقلب جيدا والخل والزيت والتوابل
"green_mayonnaise, sauce_verte", mayonnaise with tarragon or dill and chopped watercress and spinach or cucumber ,GAP,
"russian_dressing, russian_mayonnaise", mayonnaise with horseradish grated onion and chili sauce or catsup; sometimes with caviar added ,GAP,
salad_cream, a creamy salad dressing resembling mayonnaise ,صلصة كريمة," هي صلصة مصنوعة من الكريمة، مما يعطيها قواما كريميا. يمكن أن تكون صلصة الكريمة بالزعتر الليموني مصنوعة من مجموعة متنوعة من المكونات، مثل الكريمة والزعتر والليمون والثوم والأعشاب والتوابل. تستخدم صلصة الكريمة بالزعتر الليموني في مجموعة متنوعة من الأطباق، مثل المعكرونة والسندويشات والسلطات."
"white_sauce, bechamel_sauce, bechamel", milk thickened with a butter and flour roux ,بيشاميل,صلصة بيضاء تصنع من الزبدة والطحين والحليب والكريما
blanc," a white sauce of fat, broth, and vegetables (used especially with braised meat) ",GAP,
cheese_sauce, white sauce with grated cheese ,GAP,
mornay_sauce, onion-flavored creamy cheese sauce with egg yolk and grated cheese ,GAP,
"worcester_sauce, worcestershire, worcestershire_sauce", a savory sauce of vinegar and soy sauce and spices ,GAP,
