Lemma,Gloss,Indonesian lemmas (or gap),Indonesian Gloss
fingernail,the nail at the end of a finger,kuku,zat tanduk tipis yg tumbuh melekat pd ujung jari tangan atau kaki
sea,a division of an ocean or a large body of salt water partially enclosed by land,laut,kumpulan air asin (dl jumlah yg banyak dan luas) yg menggenangi dan membagi daratan atas benua atau pulau-pulau
"seashore, coast, seacoast, sea-coast",the shore of a sea or ocean,pesisir,
butterfly,diurnal insect typically having a slender body with knobbed antennae and broad colorful wings,kupu-kupu,"serangga bersayap lebar, umumnya berwarna cerah, berasal dr kepompong ulat, banyak macamnya"
shore,the land along the edge of a body of water,pesisir,
"price, terms, damage",the amount of money needed to purchase something,harga,nilai suatu barang yg ditentukan atau dirupakan dng uang
clay,a very fine-grained soil that is plastic when moist but hard when fired,tanah liat,
worm,any of numerous relatively small elongated soft-bodied animals especially of the phyla Annelida and Chaetognatha and Nematoda and Nemertea and Platyhelminthes; also many insect larvae,cacing,"binatang kecil, melata, tubuhnya bulat atau pipih panjang, tidak berkaki atau beranggota badan, hidup di tanah, air, atau perut manusia, dan perut binatang"
"pine, pine tree, true pine",a coniferous tree,cemara,"pohon yg berbatang tinggi lurus spt tiang, daunnya kecil-kecil (spt lidi)"
"commercial enterprise, business enterprise, business",the activity of providing goods and services involving financial and commercial and industrial aspects,bisnis,"aktifitas pertukaran barang dan jasa yang melibatkan aspek finansial, komersial, dan industrial"
sky,the atmosphere and outer space as viewed from the earth,langit,ruang luas yg terbentang di atas bumi
"sister, sis",a female person who has the same parents as another person,GAP,
spark,a small fragment of a burning substance thrown out by burning material or by friction,percikan,
"nose, olfactory organ",the organ of smell and entrance to the respiratory tract; the prominent part of the face of man or other mammals,hidung,"alat untuk mencium, menghirup, atau menghidu (letaknya di sebelah atas bibir)"
"spring, fountain, outflow, outpouring, natural spring",a natural flow of ground water,mata air,sumber air; tempat air membual (terbit) dr tanah
"chin, mentum",the protruding part of the lower jaw,dagu,bagian muka di bawah mulut
star,any celestial body visible (as a point of light) from the Earth at night,bintang,"benda langit terdiri dr gas menyala spt matahari, terutama tampak pd malam hari"
force,a powerful effect or influence,kekuatan,
"face, human face",the front of the human head from the forehead to the chin and ear to ear,muka; wajah,"bagian depan kepala, dr dahi bagian atas sampai ke dagu dan antara telinga yg satu dan telinga yg lain"
"brow, forehead",the part of the face above the eyes,dahi; kening,bagian wajah di atas mata; bagian kepala sebelah depan atas antara rambut dan alis
cheek,either side of the face below the eyes,pipi,
sun,a typical star that is the source of light and heat for the planets in the solar system,matahari,benda bundar di langit yg mendatangkan terang dan panas pd bumi dan planet-planet lain (dapat kita lihat pd siang hari)
"fir, fir tree, true fir",any of various evergreen trees of the genus Abies; chiefly of upland areas,GAP,
"swamp, swampland",low land that is seasonally flooded; has more woody plants than a marsh and better drainage than a bog,rawa; rawa-rawa,"tanah yg rendah, umumnya di daerah pantai, dan digenangi air, biasanya banyak terdapat tumbuhan air"
chair,"a seat for one person, with a support for the back",kursi,tempat duduk yg berkaki dan bersandaran
"history, account, chronicle, story",a record or narrative description of past events,sejarah,pengetahuan atau uraian tt peristiwa dan kejadian yg benar-benar terjadi dl masa lampau
"mind, head, brain, psyche, nous",that which is responsible for one's thoughts and feelings; the seat of the faculty of reason,pikiran,
tea,a beverage made by steeping tea leaves in water,teh,minuman dari daun teh yang diseduh
"floor, flooring",the inside lower horizontal surface (as of a room or hallway),lantai,"bagian bawah (alas, dasar) suatu ruangan (terbuat dr papan, semen, tegel, dsb)"
trail,a track or mark left by something that has passed,jejak,
"health, wellness",a healthy state of wellbeing free from disease,kesehatan,"keadaan sehat, bebas dari penyakit"
water,a fluid necessary for the life of most animals and plants,air,"benda cair spt yg biasa terdapat di sumur, sungai, danau, yg mendidih pd suhu 100°C dan membeku pd suhu 0°C"
disease,an impairment of health or a condition of abnormal functioning,penyakit,"gangguan kesehatan yg disebabkan oleh bakteri, virus, atau kelainan sistem (pd makhluk hidup)"
"universe, existence, creation, world, cosmos, macrocosm",everything that exists anywhere,alam semesta,seluruh; segenap; semuanya
"ability, power",possession of the qualities (especially mental qualities) required to do something or get something done,kemampuan; kekuatan,kesanggupan; kecakapan
"year, twelvemonth, yr",a period of time containing 365 (or 366) days,tahun,masa yg lamanya dua belas bulan
"child, kid, youngster, minor, shaver, nipper, small fry, tiddler, tike, tyke, fry, nestling",a young person of either sex,anak; anak-anak,manusia yg masih kecil
"son, boy",a male human offspring,anak laki-laki,
dust,fine powdery material such as dry earth or pollen that can be blown about in the air,debu,serbuk halus (dr tanah dsb)
air,a mixture of gases (especially oxygen) required for breathing; the stuff that the wind consists of,udara; hawa,campuran berbagai gas yg memenuhi ruang di atas bumi ini sebagaimana yg kita hirup apabila kita bernapas
people,(plural) any group of human beings (men or women or children) collectively,orang-orang,sekelompok orang
"thread, yarn",a fine cord of twisted fibers (of cotton or silk or wool or nylon etc.) used in sewing and weaving,benang,tali halus yg dipintal dr kapas (sutra dsb) dipakai sbg bahan untuk menjahit atau bahan untuk ditenun
"body, organic structure, physical structure",the entire structure of an organism (especially an animal or human being),badan,"tubuh, jasad manusia keseluruhan"
"calendar month, month",one of the twelve divisions of the calendar year,bulan,masa antara mulai tampak bulan sampai hilang kembali (29 atau 30 hari)
"january, jan",the first month of the year; begins 10 days after the winter solstice,januari,bulan pertama dl tahun Masehi
"earth, ground",the loose soft material that makes up a large part of the land surface,tanah,permukaan bumi atau lapisan bumi yg di atas sekali
"february, feb",the month following January and preceding March,februari,bulan kedua dl tahun Masehi
"march, mar",the month following February and preceding April,maret,bulan ketiga dl tahun Masehi
"april, apr",the month following March and preceding May,april,bulan keempat dl tahun Masehi
may,the month following April and preceding June,mei,bulan kelima dl tahun Masehi
june,the month following May and preceding July,juni,bulan keenam dl tahun Masehi
july,the month following June and preceding August,juli,bulan ketujuh dl tahun Masehi
"august, aug",the month following July and preceding September,agustus,bulan kedelapan dl tahun Masehi
"september, sep, sept",the month following August and preceding October,september,bulan kesembilan dl tahun Masehi
"october, oct",the month following September and preceding November,oktober,bulan kesepuluh dl tahun Masehi
"november, nov",the month following October and preceding December,november,bulan kesebelas dl tahun Masehi
"december, dec",the last (12th) month of the year,desember,bulan terakhir (keduabelas) dl tahun Masehi
crow,black birds having a raucous call,(burung) gagak,"burung pemakan bangkai, berbulu hitam, berbadan besar, dan bersuara keras"
spirit,the vital principle or animating force within living things,roh,sesuatu yang ada dalam makhluk hidup
fork,cutlery used for serving and eating food,garpu,"sendok yg bentuk ujungnya spt jari tangan, runcing, dan tajam untuk mencocok daging, sayuran, dsb"
"ring, band",jewelry consisting of a circlet of precious metal (often set with jewels) worn on the finger,cincin,"perhiasan berupa lingkaran kecil yg dipakai di jari, ada yg berpermata, ada yg tidak"
"end, last, final stage",the concluding parts of an event or occurrence,akhir,bagian penutup dari sebuah kejadian
"church, church building",a place for public (especially Christian) worship,gereja,bangunan atau rumah tempat berdoa atau melakukan upacara agama bagi pemeluk agama Kristen
"deity, divinity, god, immortal",any supernatural being worshipped as controlling some part of the world or some aspect of life or who is the personification of a force,dewa,perihal gaib yang disembah sebagai bagian dari kehidupan atau merupakan personifikasi dari sebuah aspek kehidupan
"filth, crud, skank",any substance considered disgustingly foul or unpleasant,kotoran,sesuatu yg menyebabkan kotor
"misfortune, bad luck, tough luck, ill luck",an unfortunate state resulting from unfavorable outcomes,kemalangan,keadaan malang
"road, route",an open way (generally public) for travel or transportation,jalan,
meat,the flesh of animals (including fishes and birds and snails) used as food,daging,bagian tubuh binatang sembelihan yg dijadikan makanan
"male child, boy",a youthful male person,anak laki-laki,laki-laki yang masih muda
"medicine, medication, medicament, medicinal drug",(medicine) something that treats or prevents or alleviates the symptoms of disease,obat,"bahan yg digunakan untuk mengurangi, menghilangkan, atau menyembuhkan sakit"
"pile, heap, mound, agglomerate, cumulation, cumulus",a collection of objects laid on top of each other,tumpukan; timbunan,barang-barang yang ditata di atasnya masing-masing
"man, adult male",an adult person who is male (as opposed to a woman),laki-laki; pria,seorang dewasa yang berjenis kelamin laki-laki
grain,1/7000 pound; equals a troy grain or 64.799 milligrams,GAP,
hare,swift timid long-eared mammal larger than a rabbit having a divided upper lip and long hind legs; young born furred and with open eyes,kelinci,"binatang mamalia yg mengunggis, mempunyai telinga panjang dan ekor pendek, rupanya spt marmot besar"
"piece, slice",a serving that has been cut from a larger portion,potongan,
fat,a soft greasy substance occurring in organic tissue and consisting of a mixture of lipids (mostly triglycerides),lemak,zat minyak yg melekat pd daging
"companion, comrade, fellow, familiar, associate",a person who is frequently in the company of another,kawan,seseorang yang seringkali menemani orang lain
campfire,a small outdoor fire for warmth or cooking (as at a camp),api unggun,api yg menyala pd tumpukan kayu yg terbakar (msl dl kepramukaan)
"family, family unit",primary social group; parents and children,keluarga,kelompok sosial utama; ayah-ibu dan anak-anak
"flower, bloom, blossom",reproductive organ of angiosperm plants especially one having showy or colorful parts,bunga; kembang,"bagian tumbuhan yg akan menjadi buah, biasanya elok warnanya dan harum baunya"
mouse,any of numerous small rodents typically resembling diminutive rats having pointed snouts and small ears on elongated bodies with slender usually hairless tails,tikus,"binatang pengerat, berbulu, berekor panjang, pd rahangnya terdapat sepasang gigi seri berbentuk pahat, umumnya berwarna hitam atau kelabu, tetapi ada juga yg berwarna putih"
roof,a protective covering that covers or forms the top of a building,atap,penutup rumah (bangunan) sebelah atas
"fall, autumn",the season when the leaves fall from the trees,musim gugur,"musim saat terjadinya pemendekan panjang siang, pendinginan udara, pertumbuhan vegetasi dan pengguguran dedaunan tertentu di daerah beriklim sedang"
"summer, summertime",the warmest season of the year; in the northern hemisphere it extends from the summer solstice to the autumnal equinox,musim panas,
"spring, springtime",the season of growth,musim semi,
"winter, wintertime",the coldest season of the year; in the northern hemisphere it extends from the winter solstice to the vernal equinox,musim dingin,
grass,narrow-leaved green herbage: grown as lawns; used as pasture for grazing animals; cut and dried as hay,rumput,"tumbuhan sj ilalang, tetapi lebih kecil, yg banyak jenisnya, batangnya beruas, daunnya sempit panjang, perbungaannya berbentuk bulir dan buahnya"
"wealth, wealthiness",the state of being rich and affluent; having a plentiful supply of material goods and money,kekayaan; harta benda,sifat (perihal) kaya
row,an arrangement of objects or people side by side in a line,baris,deret atau jajar yg merupakan garis lurus
fur,a garment made of the dressed hairy coat of a mammal,bulu,pakaian yang terbuat dari bulu hewan
hair,a covering for the body (or parts of it) consisting of a dense growth of threadlike structures (as on the human head); helps to prevent heat loss,rambut,bulu yg tumbuh pd kulit manusia (terutama di kepala)
"sin, sinning",an act that is regarded by theologians as a transgression of God's will,dosa,perbuatan yg melanggar hukum Tuhan atau agama
towel,a rectangular piece of absorbent cloth (or paper) for drying or wiping,handuk,kain penyeka badan (sesudah mandi)
"dirt, filth, grime, soil, stain, grease, grunge",the state of being covered with unclean things,kotor,tidak bersih
"forest, wood, woods",the trees and other plants in a large densely wooded area,hutan,tanah yg luas yg ditumbuhi pohon-pohon (biasanya tidak dipelihara orang)
seed,a mature fertilized plant ovule consisting of an embryo and its food source and having a protective coat or testa,benih; biji,"bibit, buah, atau biji tenaman yg akan ditanam atau disesuaikan"
"one-half, half",one of two equal parts of a divisible whole,setengah,hasil bagi dua dari sebuah benda utuh
glass,a brittle transparent solid with irregular atomic structure,kaca,"benda yg keras, biasanya bening dan mudah pecah (untuk jendela, gelas, botol, dsb)"
"beard, face fungus, whiskers",the hair growing on the lower part of a man's face,janggut,
"mustache, moustache",an unshaved growth of hair on the upper lip,kumis,bulu di atas bibir atas
"swarm, cloud",a group of many insects,kerumunan; kerubungan,
"eagle, bird of jove",any of various large keen-sighted diurnal birds of prey noted for their broad wings and strong soaring flight,(burung) elang,"burung buas yg mempunyai daya penglihatan tajam, berparuh bengkok dan cengkeramannya kuat"
"sack, poke, paper bag, carrier bag",a bag made of paper or plastic for holding customer's purchases,tas kresek,
mirror,polished surface that forms images by reflecting light,cermin,"kaca bening yg salah satu mukanya dicat dng air raksa dsb sehingga dapat memperlihatkan bayangan benda-benda yg ditaruh di depannya, biasanya untuk melihat wajah ketika bersolek dsb"
"bone, os",rigid connective tissue that makes up the skeleton of vertebrates,tulang,rangka atau bagian rangka tubuh manusia atau binatang
trap,a device in which something (usually an animal) can be caught and penned,perangkap,alat penangkap binatang (spt kandang atau sangkar yg dapat menutup sendiri apabila binatangnya sudah masuk dsb)
squirrel,a kind of arboreal rodent having a long bushy tail,tupai; bajing,"binatang pengunggis buah-buahan, berbulu halus, berwarna kuning atau cokelat, hidup di atas pohon"
"owl, bird of minerva, bird of night, hooter",nocturnal bird of prey with hawk-like beak and claws and large head with front-facing eyes,burung hantu,
"bread, breadstuff, staff of life",food made from dough of flour or meal and usually raised with yeast or baking powder and then baked,roti,"makanan yg dibuat dr bahan pokok tepung terigu, banyak macamnya"
gate,a movable barrier in a fence or wall,gerbang,pintu masuk halaman
"collar, neckband",a band that fits around the neck and is usually folded over,kerah,leher baju (yg kaku)
worker,a person who works at a specific occupation,pekerja,orang yg bekerja
"footstep, pace, step, stride",the distance covered by a step,langkah,jarak antara kedua kaki ketika melangkah (berjalan)
tooth,hard bonelike structures in the jaws of vertebrates; used for biting and chewing or for attack and defense,gigi,"tulang yg keras dan kecil-kecil berwarna putih, tumbuh tersusun berakar dl gusi, berguna untuk mengunyah atau menggigit"
comb,a flat device with narrow pointed teeth on one edge; disentangles or arranges hair,sisir,"alat untuk merapikan atau mengatur rambut, terbuat dr tanduk, plastik, atau logam, bergerigi tipis dan rapat"
crane,large long-necked wading bird of marshes and plains in many parts of the world,GAP,
"apparel, wearing apparel, dress, clothes",clothing in general,pakaian,
"trouser, pant","(usually in the plural) a garment extending from the waist to the knee or ankle, covering each leg separately",celana,"pakaian luar yg menutup pinggang sampai mata kaki, kadang-kadang hanya sampai lutut"
"mound, hill",structure consisting of an artificial heap or bank usually of earth or stones,gundukan; gunduk,"tumpuk kecil (tanah, sampah, daging, dsb)"
mushroom,common name for an edible agaric (contrasting with the inedible toadstool),jamur,
"mother, female parent",a woman who has given birth to a child (also used as a term of address to your mother),ibu,sebutan untuk perempuan yg telah melahirkan kita
"damage, harm, hurt, scathe",the act of damaging something or someone,rusak,perihal merusak sesuatu atau seseorang
scarf,a garment worn around the head or neck or shoulders for warmth or decoration,syal; selendang,kain pembebat leher
"wave, moving ridge",one of a series of ridges that moves across the surface of a liquid (especially across a large body of water),gelombang,"perubahan atau gangguan yg merambat, lazimnya melalui zantara (medium)"
"teacher, instructor",a person whose occupation is teaching,guru; pendidik,"orang yg pekerjaannya (mata pencahariannya, profesinya) mengajar"
"daughter, girl",a female human offspring,anak perempuan,
"horse, equus caballus",solid-hoofed herbivorous quadruped domesticated since prehistoric times,kuda,nama binatang menyusui yg berkuku satu dan biasa dipelihara orang untuk (penarik) kendaraan dsb
"tendon, sinew",a cord or band of inelastic tissue connecting a muscle with its bony attachment,tendon,jaringan ikat berwarna putih berbentuk tali atau pita yang merupakan ujung otot untuk melekat pada tulang atau struktur lain
"death, decease, expiry",the event of dying or departure from life,kematian; wafat,perihal meninggal
"aid, assist, assistance, help",the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose,bantuan,aktivitas untuk membantu orang lain yang memerlukan bantuan
"ice, water ice",water frozen in the solid state,es; air es,air beku
"frost, hoar, hoarfrost, rime",ice crystals forming a white deposit (especially on objects outside),GAP,
"tongue, lingua, glossa, clapper",a mobile mass of muscular tissue covered with mucous membrane and located in the oral cavity,lidah,"alat tubuh dl mulut yg dapat bergerak-gerak dng mudah, gunanya untuk menjilat, mengecap, dan berkata-kata"
arrow,a projectile with a straight thin shaft and an arrowhead on one end and stabilizing vanes on the other; intended to be shot from a bow,panah,
"mouth, oral cavity, oral fissure, rima oris",the opening through which food is taken in and vocalizations emerge,mulut,"rongga di wajah, tempat gigi dan lidah, untuk memasukkan makanan (pd manusia atau binatang)"
"drop, drib, driblet",a small indefinite quantity (especially of a liquid),tetes,"ukuran yang sangat kecil, terutama untuk benda cair"
lip,fleshy folds of tissue as those surrounding the mouth,bibir,tepi (pinggir) mulut (sebelah bawah dan atas)
nail,a thin pointed piece of metal that is hammered into materials as a fastener,paku,
"feed, give",give food to,beri makan,memberikan makanan untuk makhluk hidup lain
boil,cook in boiling liquid,rebus,dimasak dng air mendidih
"arise, rise, uprise, get up, stand up",rise to one's feet,berdiri,bangun tegak bertumpu pd kaki (tidak duduk atau berbaring)
ask,make a request or demand for something to somebody,minta,membuat permintaan supaya diberi atau mendapat sesuatu
"sit down, sit",take a seat,duduk,"meletakkan tubuh atau terletak tubuhnya bertumpu pd pantat (ada bermacam-macam cara dan namanya spt bersila, bersimpuh)"
"sink, drop, drop down",fall or drop to a lower place or level,jatuh,
"tear, rupture, snap, bust",separate or cause to separate abruptly,putus; sobek,terlepas
break,destroy the integrity of; usually by force; cause to separate into pieces or fragments,patah; hancur,pecah menjadi kecil-kecil
"happen, hap, go on, pass off, occur, pass, fall out, come about, take place",come to pass,terjadi,
"urge, urge on, press, exhort",force or impel in an indicated direction,desak,meminta (menganjurkan dsb) dng sangat
"trace, draw, line, describe, delineate",make a mark or lines on a surface,gambar,membuat tanda atau garis pada sebuah permukaan
"get down, begin, get, start out, start, set about, set out, commence",take the first step or steps in carrying out an action,mulai,"mengawali berbuat (bertindak, melakukan, dsb)"
work,exert oneself by doing mental or physical work for a purpose or out of necessity,kerja,kegiatan melakukan sesuatu; sesuatu yg dilakukan (diperbuat)
"lead, take, direct, conduct, guide",take somebody somewhere,pandu,
"begin, lead off, start, commence","set in motion, cause to start",mulai,"mengawali berbuat (bertindak, melakukan, dsb)"
"brawl, wrangle","to quarrel noisily, angrily or disruptively",tengkar,
play,be at play; be engaged in playful activity; amuse oneself in a way characteristic of children,main,berbuat untuk menyenangkan hati (dng menggunakan alat kesenangan)
"swallow, get down",pass through the esophagus as part of eating or drinking,telan,memasukkan (makanan) ke dl pembuluh kerongkongan
"arrive, get, come",reach a destination; arrive by movement or progress,tiba; datang; sampai,sampai (tiba) di tempat yg dituju
"let, allow, permit",make it possible through a specific action or lack of action for something to happen,biarkan,
touch,"make physical contact with, come in contact with",sentuh,melakukan kontak fisik
pick up,take up by hand,ambil,"pegang lalu dibawa, diangkat, dsb"
"die, decease, perish, go, exit, pass away, expire, pass, kick the bucket, cash in one's chips, buy the farm, conk, give-up the ghost, drop dead, pop off, choke, croak, snuff it",pass from physical life and lose all bodily attributes and functions necessary to sustain life,mati; meninggal,sudah hilang nyawanya
be born,come into existence through birth,lahir; terlahir,tiba dalam kehidupan melalui proses melahirkan
"separate, part, split up, split, break, break up",discontinue an association or relation; go different ways,pisah,
"exit, go out, get out, leave",move out of or depart from,keluar,bergerak dr sebelah dalam ke sebelah luar
"enter, come in, get into, get in, go into, go in, move into",to come or go into,masuk,"datang (pergi) ke dalam (ruangan, kamar, lingkungan, lubang dsb)"
"take, get hold of","get into one's hands, take physically",bawa,memegang atau mengangkat barang sambil berjalan atau bergerak dr satu tempat ke tempat lain
"grasp, hold on",hold firmly,pegang,
"call, send for","order, request, or command to come",panggil,
"hold, take hold",have or hold in one's hands or grip,pegang,
meet,meet by design; be present at the arrival of,temu; sua; jumpa,datang saling mendekati
"meet, run into, encounter, run across, come across, see",come together,jumpa,
freeze,change to ice,beku,menjadi padat atau keras (tt benda cair)
"flip, flip over, turn over","turn upside down, or throw so as to reverse",balik,memutar ke arah yg berlawanan
boil,come to the boiling point and change from a liquid to vapor,didih; mendidih,menggelembung-gelembung atau meluap-luap krn dipanaskan
"dissolve, thaw, unfreeze, unthaw, dethaw, melt",become or cause to become soft or liquid,leleh; meleleh,"mengalir perlahan-lahan (spt air mata, getah)"
"burn, combust",undergo combustion,bakar,mengalami proses pembakaran
"burn, incinerate",cause to undergo combustion,bakar,menyebabkan terjadinya proses pembakaran
spread,distribute over a surface in a layer,oles,melumur; melumas
jog,give a slight push to,GAP,
guard,to keep watch over,jaga,
"produce, make, create",create or manufacture a man-made product,buat,"menciptakan (menjadikan, menghasilkan)"
"hit, strike, impinge on, run into, collide with",hit against; come into sudden contact with,bentur,kontak fisik secara tiba-tiba dengan objek lain
"revolve, go around, rotate",turn on or around an axis or a center,putar,
"divide, split, split up, separate, dissever, carve up",separate into parts or portions,bagi,"menceraikan (memecahkan, memisahkan, membelah) menjadi beberapa bagian"
"teach, learn, instruct",impart skills or knowledge to,ajar,memberikan serta menjelaskan kpd orang tt suatu ilmu
sharpen,make sharp or sharper,pertajam; asah,membuat jadi tajam
rub,move over something with pressure,gosok,bergerak di atas sesuaty dengan ditekan
"fix, prepare, set up, ready, gear up, set","make ready or suitable or equip in advance for a particular purpose or for some use, event, etc",menyiapkan,membuat sesuatu menjadi siap untuk perihal tertentu
"travel rapidly, speed, hurry, zip",move very fast,lari,
"dart, dash, scoot, scud, flash, shoot",run or move very quickly or hastily,lari,
"chop, chop up",cut into pieces,belah,potong jadi beberapa bagian
"construct, build, make",make by combining materials and parts,bangun,membuat dengan menggabungkan bahan dan bagian
"run, flow, feed, course","move along, of liquids",alir,"bergerak, terkait benda cair"
"visit, call in, call",pay a brief visit,kunjung,pergi (datang) untuk menengok (menjumpai dsb)
appear,come into sight or view,muncul,menjadi dapat dilihat
pour,cause to run,tuang,curah; tumpah (tt benda cair)
"stream, well out",flow freely and abundantly,alir,bergerak dengan bebas dalam volume banyak
praise,express approval of,puji,
"breathe, take a breath, respire, suspire","draw air into, and expel out of, the lungs",napas,menghirup dan mengeluarkan napas
bake,prepare with dry heat in an oven,panggang,
"disappear, vanish, go away","get lost, as without warning or explanation",hilang,melenyapkan diri; tidak kelihatan lagi
"cook, fix, ready, make, prepare",prepare for eating by applying heat,masak,mengolah bahan makanan
"scat, run, scarper, turn tail, lam, run away, hightail it, bunk, head for the hills, take to the woods, escape, fly the coop, break away",flee; take to one's heels; cut and run,kabur,berlari cepat-cepat; melarikan diri
cough,"exhale abruptly, as when one has a chest cold or congestion",batuk,mengeluarkan bunyi (suara) batuk
"flee, fly, take flight",run away quickly,kabur,berlari cepat-cepat; melarikan diri
blow,exhale hard,tiup,mengembuskan udara
"bring, convey, take",take something or somebody with oneself somewhere,bawa,memegang atau mengangkat barang sambil berjalan atau bergerak dr satu tempat ke tempat lain
"wash, rinse",clean with some chemical process,cuci,membersihkan sesuatu dng air atau barang cair
"act, behave, do",behave in a certain manner; show a certain behavior; conduct or comport oneself,laku,berbuat; bertindak
knit,make (textiles) by knitting,jahit,
rest,be at rest,istirahat,berhenti sebentar untuk melepaskan lelah
drive,"to compel or force or urge relentlessly or exert coercive pressure on, or motivate strongly",gerak,(mulai) melakukan usaha; mengadakan aksi
"sleep, kip, slumber, log z's, catch some z's",be asleep,tidur,mengistirahatkan badan dan kesadarannya
"fall asleep, dope off, flake out, drift off, nod off, drop off, doze off, drowse off",change from a waking to a sleeping state,tertidur,tidak sengaja tidur
swing,"move in a curve or arc, usually with the intent of hitting",ayun,bergerak dalam bentuk melengkung
"decorate, adorn, grace, ornament, embellish, beautify","make more attractive by adding ornament, colour, etc.",hias,"membuat sesuatu menjadi lebih menarik dengan menambahkan perhiasan, warna, dan lainnya"
"awaken, wake, waken, rouse, wake up, arouse",cause to become awake or conscious,bangun,tersadar dari keadaan tidur atau tidak sadar
"wake up, awake, arouse, awaken, wake, come alive, waken",stop sleeping,bangun,tersadar dari keadaan tidur atau tidak sadar
"flex, bend, deform, twist, turn",cause   (a plastic object) to assume a crooked or angular form,bengkok,menjadikan bengkok
turn,cause to move around or rotate,putar,
"boast, tout, swash, shoot a line, brag, gas, blow, bluster, vaunt, gasconade",show off,pamer,
"tie, bind","fasten or secure with a rope, string, or cord",ikat,mengeratkan (menyatukan dsb) dng tali
"thrust, stuff, shove, squeeze",press or force,selip,memasukkan di antara beberapa buah benda dsb
"promise, assure",make a promise or commitment,janji,
"tie down, tie up, bind, truss",secure with or as if with ropes,ikat,mengeratkan (menyatukan dsb) dng tali
"fill, fill up, make full","make full, also in a metaphorical sense",isi,memberi isi; memasukkan sesuatu ke dalam
"laugh, express joy, express mirth",produce laughter,tertawa,"melahirkan rasa gembira, senang, geli, dsb dng suara berderai"
"succeed, win, come through, bring home the bacon, deliver the goods",attain success or reach a desired goal,berhasil; menang,beroleh (mendapat) hasil; berbuah; tercapai maksudnya
"botch, bodge, bumble, fumble, botch up, muff, blow, flub, screw up, ball up, spoil, muck up, bungle, fluff, bollix, bollix up, bollocks, bollocks up, bobble, mishandle, louse up, foul up, mess up, fuck up","make a mess of, destroy or ruin",mengacau,menjadikan kacau
bathe,cleanse the entire body,mandi,"membersihkan tubuh dng air (dng cara menyiramkan, merendam diri dl air, dsb)"
"wash, lave",cleanse (one's body) with soap and water,cuci,membersihkan sesuatu dng air atau barang cair
"rush, hasten, hurry, look sharp, festinate",act or move at high speed,bersegera; bergegas,lekas-lekas
"join, bring together",cause to become joined or linked,gabung,menjadikan tergabung
"try, seek, attempt, essay, assay",make an effort or attempt,coba,berusaha melakukan sesuatu
"comb, comb out, disentangle",smoothen and neaten with or as with a comb,sisir,merapikan (rambut) dng sisir
ask,address a question to and expect an answer from,tanya,meminta keterangan (penjelasan dsb); meminta supaya diberi tahu (tt sesuatu)
"feel, sense","perceive by a physical sensation, e.g., coming from the skin or muscles",rasa,"tanggapan pancaindera (thd sentuhan pd lidah spt manis, pahit, asam, asin) atau pd kulit (spt panas, dingin, nyeri)"
hear,receive a communication from someone,dengar,menangkap suara (bunyi) dng telinga
"cut off, chop off, lop off",remove by or as if by cutting,potong; putus,
"rear, raise, bring up, nurture, parent",bring up,asuh,menjaga (merawat dan mendidik) anak kecil
"dress, clothe, enclothe, garb, raiment, tog, garment, habilitate, fit out, apparel",provide with clothes or put clothes on,pakai,
"notice, mark, note",notice or perceive,perhatikan,Mengamat-amati
"wear, put on, get into, don, assume",put clothing on one's body,pakai,
take off,remove clothes,lepas,menjadikan lepas
"murmur, mutter, grumble, croak, gnarl",make complaining remarks or noises under one's breath,gerutu,perkataan yg diucapkan dng bergumam krn rasa dongkol atau tidak puas dng keadaan yg dialami
"bite, sting, burn",cause a sharp or stinging pain or discomfort,sengat,memberikan rasa spt tertusuk
"scrape, grate",scratch repeatedly,gorek,
"dance, trip the light fantastic, trip the light fantastic toe",move in a pattern; usually to musical accompaniment; do or perform a dance,tari; dansa,menggerak-gerakkan badan dsb dng berirama dan sering diiringi dng bunyi-bunyian
"dig, delve, cut into, turn over","turn up, loosen, or remove earth",gali,membuat lubang di tanah
"ache, smart, hurt",be the source of pain,sakit,"berasa tidak nyaman di tubuh atau bagian tubuh krn menderita sesuatu (demam, sakit perut, dsb)"
"exclaim, cry, cry out, outcry, call out, shout","utter aloud; often with surprise, horror, or joy",seru,memanggil atau menarik perhatian dng suara nyaring
smell,inhale the odor of; perceive by the olfactory sense,cium,menangkap bau dng hidung
"rescue, deliver",free from harm or evil,selamat,meluputkan dr bahaya (bencana dsb)
"complete, finish",come or bring to a finish or an end,selesai,menyudahkan (menyiapkan) pekerjaan dsb; menyempurnakan (kalimat dsb)
"search, seek, look for","try to locate or discover, or try to establish the existence of",cari,"berusaha untuk memperoleh, mendapatkan, menemukan, atau memperoleh sesuatu"
see,perceive by sight or have the power to perceive by sight,lihat,menggunakan mata untuk memandang (memperhatikan)
look,perceive with attention; direct one's gaze towards,lihat,menggunakan mata untuk memandang (memperhatikan)
"obstruct, blockade, block, hinder, stymie, stymy, embarrass",hinder or prevent the progress or accomplishment of,halang,melakukan sesuatu sehingga sulit melakukan hal lainnya yang dihalangi
"look, appear, seem",give a certain impression or have a certain outward aspect,lihat,dapat dilihat; kelihatan; tampak
sound,give off a certain sound or sounds,suara,mengeluarkan suara
"indicate, point, show","indicate a place, direction, person, or thing; either spatially or figuratively",tunjuk; arah,memberi petunjuk
